file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00502_0120_426220_to_427278,དེ་སྔ་ ,de snga _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00502_0120_426220_to_427278.wav,STT_AB,2,7,1.058,wav16k/STT_AB00502_0120_426220_to_427278.wav,དེ་སྔ་
STT_AB00229_0118_1046106_to_1056658,རོལ་དབྱངས་མེད་ཀྱང་། བྱ་བྱེའུ་རྣམས་ཀྱི་གསུང་སྐད་ནི་དྲི་ཟའི་རོལ་མོ་ལས་སྙན་ཞིང་། ཉམས་འགྱུར་བཟང་བའི་ལྗོན་ཤིང་དང་། རྒྱུགས་བཟོ་དོད་པའི་འབབ་ཆུའི་རྣམ་པ་དེ་དག་གིས་ལྷ་ཡི་ཡུལ་ལ་ཡང་ ,rol dbyangs med kyang /_bya bye'u rnams kyi gsung skad ni dri za'i rol mo las snyan zhing /_nyams 'gyur bzang ba'i ljon shing dang /_rgyugs bzo dod pa'i 'bab chu'i rnam pa de dag gis lha yi yul la yang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0118_1046106_to_1056658.wav,STT_AB,2,170,10.552,wav16k/STT_AB00229_0118_1046106_to_1056658.wav,རོལ་དབྱངས་མེད་ཀྱང་། བྱ་བྱིའུ་རྣམས་ཀྱི་གསུང་སྐད་ནི་དྲི་ཟའི་རོལ་མོ་ལས་སྙན་ཞིང་ཉམས་འགྱུར་བཟང་བའི་ལྗོན་ཤིང་དང་། རྒྱུག་སོ་དོད་པའི་འབབ་ཆུའི་རྣམ་པ་དེ་དག་གི་ལྷ་ཡི་ཡུལ་ལ་ཡ་
STT_AB00229_0119_1056658_to_1067209,སྐྱེངས་པ་སྟེར་བ་ལྟར་དུ་སྣང་། བ་ལུའི་མེ་ཏོག་གིས་རང་བྱུང་ཁམས་ཀྱི་མཛེས་ལྗོངས་ལོངས་སུ་སྤྱོད་ཀྱིན་ཁམས་གཙང་བའི་རྡོ་སྐས་འཛེགས་ཏེ་འགྲོ་བའི་སྐབས་རྡོ་སྐས་ཀྱི་ཟུར་ཞིག་ཏུ།  ,skyengs pa ster ba ltar du snang /_ba lu'i me tog gis rang byung khams kyi mdzes ljongs longs su spyod kyin khams gtsang ba'i rdo skas 'dzegs te 'gro ba'i skabs rdo skas kyi zur zhig tu/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0119_1056658_to_1067209.wav,STT_AB,2,161,10.551,wav16k/STT_AB00229_0119_1056658_to_1067209.wav,ངརྐྱང་པ་སྟེར་བ་ལྟར་ཏུ་སྣང་། བ་ལུའི་མེ་ཏོག་གིས་རང་བྱུང་ཁམས་ཀྱི་མཛེས་ལྗོངས་ལོངས་སུ་སྤྱོད་ཀྱིན་ཁམས་གཙང་བའི་རྡོ་སྐས་འཛེགས་ཏེ་འགྲོ་བའི་སྐབས་ རྡོ་སྐས་ཀྱི་ཟུར་ཞིག་འདུ
STT_AB00229_0120_1067551_to_1071885,ལྟོ་ཕད་རྙིང་པ་སོང་ཞིག་གི་ནང་དུ་སྒོར་ཚག་ཁ་ཤས་དང་། མོག་ཚག་ཁ་ཤས་བླུགས་ཡོད།  ,lto phad rnying pa song zhig gi nang du sgor tshag kha shas dang /_mog tshag kha shas blugs yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0120_1067551_to_1071885.wav,STT_AB,2,73,4.334,wav16k/STT_AB00229_0120_1067551_to_1071885.wav,ལྟོ་ཕད་རྙིང་པར་སོང་བ་ཞིག་གི་ནང་དུ་སྒོ་ཚག་ཁ་ཤས་དང་མོག་ཚག་ཁ་ཤས་བླུགས་ཡོད།
STT_AB00229_0124_1107073_to_1115093,མུ་མཐུད་དེ་མགོ་བོ་སྒུར་སྒུར་ངང་གད་རྒྱག་གིན་བསྡད། བཙུན་མའི་ཆ་ལུགས་འདྲ་བའི་བུད་མེད་དེ་ཡི་སྐད་གདངས་ནི་དེ་འདྲའི་རྒྱུས་མངའ་ཆེ་བ་ཞིག་བྱུང་བས་ ,mu mthud de mgo bo sgur sgur ngang gad rgyag gin bsdad/_btsun ma'i cha lugs 'dra ba'i bud med de yi skad gdangs ni de 'dra'i rgyus mnga' che ba zhig byung bas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0124_1107073_to_1115093.wav,STT_AB,2,136,8.02,wav16k/STT_AB00229_0124_1107073_to_1115093.wav,མུ་མཐུད་དེ་མགོ་བོ་སྒུར་སྒུར་ངང་གད་རྒྱག་གིན་བསྡད། བཙུན་མོའི་ཆ་ལུགས་འདྲ་བའི་བུད་མེད་དེའི་སྐད་གདངས་ནི་དེ་འདྲའི་རྒྱུས་མངའ་ཆེ་བ་ཞིག་བྱུང་།
STT_AB00558_0098_426970_to_433097,འདིས་ནི་རང་བཞིན་འགོག་པའི་རིགས་པས་བྱ་བྱེད་ཐམས་ཅད་བཀག་པར་གོ་ནས་རྩོད་པའོ།  ,'dis ni rang bzhin 'gog pa'i rigs pas bya byed thams cad bkag par go nas rtsod pa'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0098_426970_to_433097.wav,STT_AB,2,72,6.127,wav16k/STT_AB00558_0098_426970_to_433097.wav,འདིས་ནི་རང་བཞིན་འགོག་པའི་རིགས་པས་བྱ་བྱེད་ཐམས་ཅད་བཀག་པར་གོ་ནས་རྩོད་པའོ།
STT_AB00229_0133_1188097_to_1190213,ཡ་ང་བའི་གནས་ཚུལ་དེ་བཤད་པ་དྲན་བྱུང་།  ,ya nga ba'i gnas tshul de bshad pa dran byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0133_1188097_to_1190213.wav,STT_AB,2,37,2.116,wav16k/STT_AB00229_0133_1188097_to_1190213.wav,ཡ་ང་བའི་གནས་ཚུལ་དེ་བཤད་པ་དྲན་བྱུང་།
STT_AB00229_0134_1191953_to_1200025,དང་ཐོག་སྐད་ཆ་དེ་གོ་སྐབས་བུ་ཁྲིད་ཀྱི་རྒྱུ་འབྲས་མེད་པའི་ལས་དེ་འདྲ་བྱས་པར་བ་ལུའི་མེ་ཏོག་སྙིང་ཁོངས་རུས་པའི་གཏིང་ནས་ཁོང་ཁྲོ་ཟ་མྱོང་ཡོད་ལ་ ,dang thog skad cha de go skabs bu khrid kyi rgyu 'bras med pa'i las de 'dra byas par ba lu'i me tog snying khongs rus pa'i gting nas khong khro za myong yod la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0134_1191953_to_1200025.wav,STT_AB,2,133,8.072,wav16k/STT_AB00229_0134_1191953_to_1200025.wav,དང་ཐོག་སྐད་ཆ་དེ་གོ་སྐབས་བུ་ཁྲིད་ཀྱིས་རྒྱུ་འབྲས་མེད་པའི་ལས་འདེ་འདྲ་བྱས་པར་བ་ལུའི་མེ་ཏོག་སཉེན་ཁུངས་རུས་པའི་གྟིང་ནས་ཁོང་ཁྲོ་ཟ་མྱོང་ཡོད་ལ།
STT_AB00229_0128_1139667_to_1147039,བུ་ཁྲིད་དང་ཡོངས་སུ་འདྲ་ཡང་ཕྱི་ཡི་རྣམ་པ་ནི་གཏན་ནས་མི་འདྲ་ཞིང་། བ་ལུའི་མེ་ཏོག་གིས་མིག་གཉིས་རྩེ་གཅིག་ཏུ་སྡུས་གྱིས་བུ་ ,bu khrid dang yongs su 'dra yang phyi yi rnam pa ni gtan nas mi 'dra zhing /_ba lu'i me tog gis mig gnyis rtse gcig tu sdus gyis bu _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0128_1139667_to_1147039.wav,STT_AB,2,115,7.372,wav16k/STT_AB00229_0128_1139667_to_1147039.wav,བུ་ཁྲིད་དང་ཡོངས་སུ་འགྲངས་ན་ཡང་ཕྱི་ཡི་རྣམ་པ་ནི་གཏན་ནས་མི་འདྲ་ཞིང་། བ་ལུའི་མེ་ཏོག་གི་མིག་གཉིས་རྩེ་གཅིག་ཏུ་འདོན་གྱི་བུ་མོ་
STT_AB00229_0129_1147039_to_1154411,མེད་དེར་ཞིབ་བལྟ་ལེགས་པར་བྱས་རྗེས་མིག་མདུན་གྱི་བཙུན་མའི་ཆ་ལུགས་སྤྲས་པའི་བུད་མེད་དེ་ནི་བུ་ཁྲིད་ཡིན་པ་ཞི་ནས་ཤེས།  ,med der zhib blta legs par byas rjes mig mdun gyi btsun ma'i cha lugs spras pa'i bud med de ni bu khrid yin pa zhi nas shes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00229_0129_1147039_to_1154411.wav,STT_AB,2,111,7.372,wav16k/STT_AB00229_0129_1147039_to_1154411.wav,ོ་དེར་ཞིབ་ལྟ་ལེགས་པར་བྱས་རྗེས་མིག་མདུན་གྱིས་བཙུན་མའི་ཆ་ལུགས་སྤྲད་པའི་བུད་མེད་དེ་ནི་བུ་ཁྲིད་ཡིན་པ་གཞི་ནས་ཤེས།
